532,Bishoujo Senshi Sailor Moon S,"['Drama', 'Magic', 'Romance', 'Shoujo']","Mar 19, 1994 to Feb 25, 1995",38
21185,Baby Steps,"['Romance', 'School', 'Shounen', 'Sports']","Apr 6, 2014 to Sep 21, 2014",25
890,Yuusha-Ou GaoGaiGar,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']","Feb 1, 1997 to Jan 31, 1998",49
543,Vampire Hunter D (2000),"['Action', 'Sci-Fi', 'Horror', 'Drama', 'Romance', 'Vampire', 'Fantasy']",25-Aug-00,1
949,Top wo Nerae! Gunbuster,"['Action', 'Comedy', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Shounen', 'Space']","Oct 7, 1988 to Jul 7, 1989",6
34504,Seitokai Yakuindomo Movie,"['Slice of Life', 'Comedy', 'School', 'Shounen']",21-Jul-17,1
1729,Maria-sama ga Miteru 3rd,"['Drama', 'School', 'Shoujo Ai', 'Slice of Life']","Dec 29, 2006 to Jul 25, 2007",5
8310,Magic Kaito,"['Adventure', 'Comedy', 'Romance', 'Shounen']","Apr 17, 2010 to Dec 29, 2012",12
35075,Hoozuki no Reitetsu 2nd Season,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']","Oct 8, 2017 to Dec 31, 2017",13
35678,Hibike! Euphonium Movie 3: Chikai no Finale,"['Drama', 'Music', 'School']",19-Apr-19,1
15809,Hataraku Maou-sama!,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy']","Apr 4, 2013 to Jun 27, 2013",13
35111,Haikyuu!! Movie 4: Concept no Tatakai,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",29-Sep-17,1
7304,Detective Conan Movie 08: Time Travel of the Silver Sky,"['Adventure', 'Mystery']",30-Apr-04,1
1366,Detective Conan Movie 07: Crossroad in the Ancient Capital,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",19-Apr-03,1
23225,Yuru Yuri Nachuyachumi!,"['Comedy', 'Shoujo Ai', 'Slice of Life']",18-Feb-15,1
17909,Uchouten Kazoku,"['Slice of Life', 'Comedy', 'Demons', 'Drama', 'Fantasy']","Jul 7, 2013 to Sep 29, 2013",13
10521,Working'!!,"['Comedy', 'Romance', 'Seinen', 'Slice of Life']","Oct 1, 2011 to Dec 24, 2011",13
22319,Tokyo Ghoul,"['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']","Jul 4, 2014 to Sep 19, 2014",12
400,Seihou Bukyou Outlaw Star,"['Action', 'Sci-Fi', 'Adventure', 'Space', 'Comedy']","Jan 9, 1998 to Jun 26, 1998",24
9088,Saiyuuki Gaiden,"['Action', 'Adventure', 'Drama', 'Fantasy']","Mar 25, 2011 to Nov 25, 2011",3
33190,Planetarian: Hoshi no Hito,"['Sci-Fi', 'Drama']",3-Sep-16,1
20,Naruto,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']","Oct 3, 2002 to Feb 8, 2007",220
33221,Mobile Suit Gundam Thunderbolt: December Sky,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",25-Jun-16,1
22097,Magi: Sinbad no Bouken,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']","May 14, 2014 to Jul 15, 2015",5
3014,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,"['Action', 'Military', 'Sci-Fi', 'Space']",6-Feb-88,1
2890,Gake no Ue no Ponyo,"['Adventure', 'Fantasy']",19-Jul-08,1
6702,Fairy Tail,"['Action', 'Adventure', 'Comedy', 'Magic', 'Fantasy', 'Shounen']","Oct 12, 2009 to Mar 30, 2013",175
2035,Eikoku Koi Monogatari Emma: Molders-hen,"['Slice of Life', 'Romance', 'Historical', 'Drama', 'Seinen']","Apr 17, 2007 to Jul 3, 2007",12
6351,Clannad: After Story - Mou Hitotsu no Sekai Kyou-hen,"['Drama', 'Romance', 'School']",1-Jul-09,1
6377,Zan Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']","Jul 5, 2009 to Sep 27, 2009",13
1485,Akachan to Boku,"['Comedy', 'Drama', 'Shoujo']","Jul 11, 1996 to Mar 26, 1997",35
4163,Seto no Hanayome OVA,"['Comedy', 'Parody', 'Romance', 'School', 'Shounen']","Nov 3, 2008 to Jan 5, 2009",2
2143,Saiyuuki Reload: Burial,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Shoujo']","Apr 28, 2007 to Mar 28, 2008",3
6007,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,"['Adventure', 'Fantasy', 'Historical', 'Romance']",30-Apr-09,1
25517,Magic Kaito 1412,"['Adventure', 'Comedy', 'Romance', 'Shounen']","Oct 4, 2014 to Mar 28, 2015",24
27947,Lupin III (2015),"['Action', 'Adventure', 'Comedy', 'Mystery', 'Seinen']","Oct 2, 2015 to Mar 18, 2016",24
1695,Les Misérables: Shoujo Cosette,"['Slice of Life', 'Historical', 'Drama', 'Shoujo']","Jan 7, 2007 to Dec 30, 2007",52
187,Initial D Third Stage,"['Action', 'Cars', 'Sports', 'Drama', 'Romance', 'Seinen']",13-Jan-01,1
14175,Hanasaku Iroha: Home Sweet Home,"['Slice of Life', 'Comedy', 'Drama']",9-Mar-13,1
24471,Hoozuki no Reitetsu OVA,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']","Feb 23, 2015 to Mar 23, 2017",4
35110,Haikyuu!! Movie 3: Sainou to Sense,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",15-Sep-17,1
35120,Devilman: Crybaby,"['Action', 'Dementia', 'Demons', 'Horror', 'Supernatural']",5-Jan-18,10
779,Detective Conan Movie 01: The Timed Skyscraper,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",19-Apr-97,1
10012,Carnival Phantasm,"['Comedy', 'Parody', 'Supernatural']","Aug 14, 2011 to Dec 31, 2011",12
2605,Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']","Jul 8, 2007 to Sep 23, 2007",12
31973,Mobile Suit Gundam Thunderbolt,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']","Dec 25, 2015 to Apr 22, 2016",4
4985,Mahou Shoujo Lyrical Nanoha: The Movie 1st,"['Action', 'Magic', 'Comedy', 'Sci-Fi', 'Drama']",23-Jan-10,1
3572,Macross F,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Music', 'Sci-Fi']","Apr 4, 2008 to Sep 26, 2008",25
4280,Kara no Kyoukai 4: Garan no Dou,"['Action', 'Mystery', 'Supernatural', 'Thriller']",24-May-08,1
429,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,"['Comedy', 'Drama', 'Shoujo']",11-Dec-05,1
5781,Isekai no Seikishi Monogatari,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Mecha', 'School']","May 22, 2009 to May 26, 2010",13
10029,Coquelicot-zaka kara,"['Historical', 'Romance', 'School', 'Shoujo']",16-Jul-11,1
38250,Xiao Lu He Xiao Lan,"['Game', 'Sci-Fi', 'Slice of Life', 'Comedy', 'Drama', 'Magic', 'School', 'Shounen Ai']","Aug 27, 2018 to Feb 16, 2019",72
16916,Kuroko no Basket: Tip Off,"['Sports', 'Comedy', 'School', 'Shounen']",22-Feb-13,1
7062,Hidamari Sketch x ☆☆☆,"['Slice of Life', 'Comedy', 'School', 'Seinen']","Jan 8, 2010 to Mar 26, 2010",12
2623,Flanders no Inu (Movie),"['Drama', 'Historical']",15-Mar-97,1
790,Ergo Proxy,"['Psychological', 'Mystery', 'Sci-Fi']","Feb 25, 2006 to Aug 12, 2006",23
8408,Durarara!! Specials,"['Action', 'Comedy', 'Supernatural']","Aug 25, 2010 to Feb 23, 2011",2
780,Detective Conan Movie 02: The Fourteenth Target,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",18-Apr-98,1
24921,Aoki Hagane no Arpeggio: Ars Nova Cadenza,"['Action', 'Sci-Fi', 'Seinen']",3-Oct-15,1
658,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,"['Game', 'Psychological', 'Thriller', 'Seinen']","Oct 5, 2005 to Mar 29, 2006",26
2158,Terra e... (TV),"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']","Apr 7, 2007 to Sep 22, 2007",24
22,Tennis no Ouji-sama,"['Action', 'Comedy', 'Sports', 'School', 'Shounen']","Oct 10, 2001 to Mar 23, 2005",178
